M03520:605:000000000-LVNKY:1:2108:8460:26809;size=1	A00405_539_HLLNCDSX3_4_2214_27434_30780_1_238_-_02586f3f6cd19c432ac8d02dc5b6f139	100.000	32	0	1.21e-11	60.2	151
M03520:605:000000000-LVNKY:1:2104:24558:20881;size=1	A00405_539_HLLNCDSX3_4_2316_28330_6527_1_279_+_d0519282208358367ba6d805c3abc895	96.552	58	2	9.21e-23	97.1	151
M03520:605:000000000-LVNKY:1:2104:24558:20881;size=1	A00405_539_HLLNCDSX3_4_2516_24542_11083_1_284_-_3c21a6cd9e6937764d653129dacfc976	100.000	52	0	9.21e-23	97.1	151
M03520:605:000000000-LVNKY:1:2107:21094:5312;size=1	A00405_539_HLLNCDSX3_4_2375_18032_36793_1_294_+_5a260901400c54ea43f4ad67a663e52d	96.899	129	3	2.44e-58	215	151
M03520:605:000000000-LVNKY:1:2111:9675:7235;size=1	A00405_539_HLLNCDSX3_4_2236_24614_29841_1_293_+_04ca48409a1ee33b09ee3f0431a9bece	96.026	151	6	8.64e-68	246	151
M03520:605:000000000-LVNKY:1:2110:5828:20122;size=1	A00405_539_HLLNCDSX3_4_2413_23728_18349_1_294_+_5c8cf276bfb8a016a1079c51251bc7d6	98.675	151	2	1.84e-74	268	151
M03520:605:000000000-LVNKY:1:1110:6465:18331;size=1	A00405_539_HLLNCDSX3_4_2562_31548_9627_1_293_+_204cc0636a899ba3f5ce647fe945e729	95.918	147	4	5.20e-65	237	151
M03520:605:000000000-LVNKY:1:1112:26232:19545;size=1	A00405_539_HLLNCDSX3_4_2562_31548_9627_1_293_+_204cc0636a899ba3f5ce647fe945e729	96.689	151	5	1.86e-69	252	151
M03520:605:000000000-LVNKY:1:1112:12014:27209;size=2	A00405_539_HLLNCDSX3_4_2375_18032_36793_1_294_+_5a260901400c54ea43f4ad67a663e52d	100.000	129	0	1.45e-65	239	151
M03520:605:000000000-LVNKY:1:1112:12014:27209;size=2	A00405_539_HLLNCDSX3_4_2140_30463_36620_1_268_-_efd71567aa19975e277c347d16477d1d	82.353	102	12	7.17e-19	84.2	151
M03520:605:000000000-LVNKY:1:1112:19762:28544;size=1	A00405_539_HLLNCDSX3_4_2536_7952_30984_1_279_+_0477fcf26c74fdea1d47fdaf9816091b	98.000	150	3	3.09e-72	261	151
M03520:605:000000000-LVNKY:1:1112:8566:20308;size=1	A00405_539_HLLNCDSX3_4_1456_14714_11945_1_224_+_cd35089b9266a72f35460e2e07d8ad9f	97.987	149	3	1.11e-71	259	151
M03520:605:000000000-LVNKY:1:1102:27387:18404;size=1	A00405_539_HLLNCDSX3_4_1256_26341_12446_1_294_+_88ec1e8930915f6fd0f1d06309f6b07b	86.154	65	9	5.58e-15	71.3	151
M03520:605:000000000-LVNKY:1:1114:21700:6523;size=3	A00405_539_HLLNCDSX3_4_2562_31548_9627_1_293_+_204cc0636a899ba3f5ce647fe945e729	98.000	150	3	3.09e-72	261	151
M03520:605:000000000-LVNKY:1:2106:3149:10654;size=1	A00405_539_HLLNCDSX3_4_1334_11930_16266_1_258_+_048a394d3695a8abb0c425f7d9b7201d	91.803	122	10	5.35e-45	171	151
M03520:605:000000000-LVNKY:1:2111:24787:14311;size=1	A00405_539_HLLNCDSX3_4_1256_26341_12446_1_294_+_88ec1e8930915f6fd0f1d06309f6b07b	93.377	151	10	4.05e-61	224	151
M03520:605:000000000-LVNKY:1:1106:13106:2273;size=1	A00405_539_HLLNCDSX3_4_1178_12373_36385_1_292_-_8b8f21f75f2bd01a9ad02d01e5ec2145	98.013	151	3	8.58e-73	263	151
M03520:605:000000000-LVNKY:1:1104:21409:19326;size=1	A00405_539_HLLNCDSX3_4_2236_24614_29841_1_293_+_04ca48409a1ee33b09ee3f0431a9bece	97.351	151	4	3.99e-71	257	151
M03520:605:000000000-LVNKY:1:2111:11163:10729;size=1	A00405_539_HLLNCDSX3_4_2516_24542_11083_1_284_-_3c21a6cd9e6937764d653129dacfc976	91.667	48	4	7.22e-14	67.6	151
M03520:605:000000000-LVNKY:1:1109:17451:9007;size=1	A00405_539_HLLNCDSX3_4_1104_22073_24408_1_293_+_4914a7ba4a2d99ed42b81efb3a62da2b	99.265	136	1	8.64e-68	246	151
M03520:605:000000000-LVNKY:1:1107:27471:10000;size=1	A00405_539_HLLNCDSX3_4_1149_18701_36605_1_292_-_4a407c9c3375a6ad5003bdd88d91a484	97.391	115	3	8.83e-53	196	151
M03520:605:000000000-LVNKY:1:2101:26725:12116;size=1	A00405_539_HLLNCDSX3_4_1133_19199_19492_1_294_-_f696211bbf33e2824c01aee2ec50bcfe	93.220	118	8	4.14e-46	174	151
M03520:605:000000000-LVNKY:1:2101:26725:12116;size=1	A00405_539_HLLNCDSX3_4_1165_26124_18364_1_289_-_92dcb437b5cfeea75f7a8f87a187a684	84.483	116	16	9.14e-28	113	151
M03520:605:000000000-LVNKY:1:1111:19779:24224;size=1	A00405_539_HLLNCDSX3_4_2375_18032_36793_1_294_+_5a260901400c54ea43f4ad67a663e52d	99.265	136	1	8.64e-68	246	151
M03520:605:000000000-LVNKY:1:1111:19779:24224;size=1	A00405_539_HLLNCDSX3_4_2140_30463_36620_1_268_-_efd71567aa19975e277c347d16477d1d	82.474	97	11	9.27e-18	80.5	151
M03520:605:000000000-LVNKY:1:2106:28534:10466;size=1	A00405_539_HLLNCDSX3_4_1451_30409_6715_1_231_+_018312b314ec0e3d7060fd278ef283f4	99.180	122	1	5.24e-60	220	151
M03520:605:000000000-LVNKY:1:2108:15672:28693;size=1	A00405_539_HLLNCDSX3_4_1406_19262_13119_1_287_+_7e2b216f62b2af90b0db370fe85efc1c	89.344	122	13	5.39e-40	154	151
M03520:605:000000000-LVNKY:1:2107:14957:4192;size=2	A00405_539_HLLNCDSX3_4_1552_13096_18098_1_254_-_5182f127b2cf4a4a6a0d11e3cd53ecdb	99.286	140	1	5.16e-70	254	151
M03520:605:000000000-LVNKY:1:2107:14957:4192;size=2	A00405_539_HLLNCDSX3_4_2268_21178_6010_1_244_+_a5c560dafc167d22580041a7b14d7136	100.000	44	0	2.58e-18	82.4	151
M03520:605:000000000-LVNKY:1:1106:10605:5389;size=3	A00405_539_HLLNCDSX3_4_2413_23728_18349_1_294_+_5c8cf276bfb8a016a1079c51251bc7d6	99.338	151	1	3.96e-76	274	151
M03520:605:000000000-LVNKY:1:1107:19513:24186;size=1	A00405_539_HLLNCDSX3_4_2354_31494_20306_1_293_+_9fc4ba7df13b38a1122bbfdc70b1bfa7	98.658	149	2	2.39e-73	265	151
M03520:605:000000000-LVNKY:1:2108:10840:7848;size=1	A00405_539_HLLNCDSX3_4_2236_24614_29841_1_293_+_04ca48409a1ee33b09ee3f0431a9bece	98.675	151	2	1.84e-74	268	151
M03520:605:000000000-LVNKY:1:2113:15152:13734;size=1	A00405_539_HLLNCDSX3_4_1149_18701_36605_1_292_-_4a407c9c3375a6ad5003bdd88d91a484	98.261	115	2	1.90e-54	202	151
M03520:605:000000000-LVNKY:1:1107:11968:15597;size=2	A00405_539_HLLNCDSX3_4_2354_31494_20306_1_293_+_9fc4ba7df13b38a1122bbfdc70b1bfa7	98.658	149	2	2.39e-73	265	151
M03520:605:000000000-LVNKY:1:2103:2725:10632;size=3	A00405_539_HLLNCDSX3_4_2214_27434_30780_1_238_-_02586f3f6cd19c432ac8d02dc5b6f139	95.690	116	5	5.31e-50	187	151
M03520:605:000000000-LVNKY:1:2103:2725:10632;size=3	A00405_539_HLLNCDSX3_4_2516_24542_11083_1_284_-_3c21a6cd9e6937764d653129dacfc976	100.000	66	0	1.52e-30	122	151
